graph_name,exit_status,cpu_time,wallclock_time,maximum_resident_set_size
mug100_1,0,2.0,1.83,4796104
mug100_25,0,2.01,1.84,4797672
mug88_1,0,1.97,1.85,4796168
mug88_25,0,1.95,1.83,4797364
myciel3,0,1.92,1.81,4794172
myciel4,0,1.95,1.85,4794156
myciel5,0,1.95,1.82,4794124
myciel6,0,2.07,1.86,4802388
myciel7,0,2.17,1.87,4824980
ph-03-02,0,1.94,1.82,4794240
ph-03-03,0,1.96,1.84,4796176
ph-04-03,0,1.97,1.83,4795244
ph-04-04,0,2.03,1.86,4798180
ph-05-04,0,2.02,1.84,4797948
ph-05-05,0,2.08,1.85,4803364
ph-06-05,0,2.19,1.87,4816040
ph-06-06,0,2.19,1.89,4841280
ph-07-06,0,2.25,1.91,4839536
ph-07-07,0,2.29,1.94,4856636
ph-08-07,0,2.38,1.97,4886488
ph-08-08,0,2.4,1.99,4917808
ph-09-08,0,2.4699999999999998,2.06,5013472
ph-09-09,0,2.54,2.1,5069680
ph-10-09,0,2.66,2.17,5208956
ph-10-10,0,2.79,2.26,5346700
ph-11-10,0,2.8899999999999997,2.38,5628180
ph-11-11,0,2.94,2.47,5868232
ph-12-11,0,3.23,2.74,6430736
ph-12-12,0,3.4,2.94,6856276
ph-13-12,0,3.82,3.38,7869096
ph-13-13,0,4.22,3.74,8647628
ph-14-13,0,5.050000000000001,4.48,10425152
ph-14-14,0,5.53,5.06,11760128
ph-15-14,0,7.0600000000000005,6.25,14717812
ph-15-15,0,7.99,7.15,16833272
ph-16-15,0,10.05,9.09,21669340
ph-16-16,0,11.49,10.52,25095632
ph-17-16,0,14.84,13.83,32781340
ph-17-17,0,16.93,15.94,38156600
ph-18-17,0,21.14,20.08,50087548
ph-18-18,0,24.48,23.43,58360620
ph-19-18,0,29.39,26.98,58496472
ph-19-19,0,32.01,29.94,58489140
ph-20-19,0,40.01,36.77,58498404
ph-20-20,0,44.33,41.09,58509752
qg.order100,0,321.03000000000003,301.78,58554960
qg.order30,0,3.23,2.24,5072916
qg.order40,0,4.62,3.61,5649604
qg.order60,0,17.66,16.5,14794088
queen008x008,0,2.02,1.85,4800356
queen010x010,0,2.09,1.86,4802652
queen020x020,0,2.91,2.0,4876344
queen030x030,0,3.4000000000000004,2.4,5105796
queen040x040,0,5.0,3.72,5798188
queen050x050,0,11.440000000000001,10.26,7883228
queen060x060,0,33.12,31.99,12828596
queen070x070,0,74.89999999999999,73.78,23390396
queen080x080,0,152.9,151.76,44036732
queen090x090,0,287.8,280.13,58549788
queen100x100,0,495.61,476.4,58571972
queen10_10,0,2.1,1.86,4802260
queen11_11,0,2.12,1.86,4820744
queen12_12,0,2.17,1.9,4809428
queen13_13,0,2.2,1.9,4809660
queen14_14,0,2.21,1.89,4814160
queen15_15,0,2.28,1.9,4819044
queen16_16,0,2.32,1.92,4822664
queen200x200,124,3600.5899999999997,3600,30860396
queen5_5,0,1.93,1.82,4795256
queen6_6,0,1.96,1.82,4796364
queen7_7,0,2.0,1.83,4800388
queen8_12,0,2.1,1.87,4802592
queen8_8,0,2.02,1.85,4800332
queen9_9,0,2.05,1.85,4805572
random_instance001_graph001,0,1.95,1.84,4794160
random_instance001_graph002,0,1.95,1.84,4794184
random_instance001_graph003,0,1.93,1.81,4795156
random_instance001_graph004,0,1.96,1.84,4794120
random_instance001_graph005,0,1.93,1.82,4793120
random_instance002_graph001,0,1.94,1.82,4794148
random_instance002_graph002,0,1.95,1.84,4794164
random_instance002_graph003,0,1.95,1.83,4794204
random_instance002_graph004,0,1.94,1.83,4794940
random_instance002_graph005,0,1.94,1.82,4794212
random_instance003_graph001,0,1.96,1.84,4795212
random_instance003_graph002,0,1.94,1.84,4810432
random_instance003_graph003,0,1.96,1.84,4794244
random_instance003_graph004,0,1.94,1.83,4791112
random_instance003_graph005,0,1.95,1.83,4795156
random_instance004_graph001,0,1.97,1.85,4795936
random_instance004_graph002,0,1.98,1.85,4796280
random_instance004_graph003,0,1.97,1.85,4796216
random_instance004_graph004,0,1.97,1.85,4796120
random_instance004_graph005,0,1.99,1.86,4796272
random_instance005_graph001,0,1.97,1.84,4796168
random_instance005_graph002,0,1.9699999999999998,1.84,4796012
random_instance005_graph003,0,1.98,1.84,4811520
random_instance005_graph004,0,1.96,1.83,4796420
random_instance005_graph005,0,2.0,1.86,4796888
random_instance006_graph001,0,1.98,1.85,4796072
random_instance006_graph002,0,1.98,1.85,4797112
random_instance006_graph003,0,1.97,1.84,4796132
random_instance006_graph004,0,1.97,1.85,4797200
random_instance006_graph005,0,1.98,1.86,4797220
random_instance007_graph001,0,1.9899999999999998,1.85,4795812
random_instance007_graph002,0,1.9899999999999998,1.85,4795944
random_instance007_graph003,0,1.9899999999999998,1.86,4797192
random_instance007_graph004,0,1.9899999999999998,1.84,4812288
random_instance007_graph005,0,1.98,1.84,4795132
random_instance008_graph001,0,2.04,1.86,4798896
random_instance008_graph002,0,2.02,1.84,4798248
random_instance008_graph003,0,2.02,1.84,4798184
random_instance008_graph004,0,2.05,1.86,4798428
random_instance008_graph005,0,2.01,1.83,4798524
random_instance009_graph001,0,2.02,1.84,4798212
random_instance009_graph002,0,2.04,1.85,4799540
random_instance009_graph003,0,2.05,1.86,4800172
random_instance009_graph004,0,2.03,1.84,4798680
random_instance009_graph005,0,2.02,1.83,4813452
random_instance010_graph001,0,2.05,1.86,4798264
random_instance010_graph002,0,2.06,1.86,4802468
random_instance010_graph003,0,2.06,1.86,4803696
random_instance010_graph004,0,2.07,1.85,4804644
random_instance010_graph005,0,2.09,1.88,4802884
random_instance011_graph001,0,2.07,1.86,4803660
random_instance011_graph002,0,2.09,1.88,4800196
random_instance011_graph003,0,2.09,1.88,4799276
random_instance011_graph004,0,2.08,1.88,4798084
random_instance011_graph005,0,2.07,1.85,4801692
random_instance012_graph001,0,2.08,1.86,4818136
random_instance012_graph002,0,2.08,1.86,4804028
random_instance012_graph003,0,2.08,1.87,4800512
random_instance012_graph004,0,2.1,1.88,4801552
random_instance012_graph005,0,2.05,1.84,4799304
random_instance013_graph001,0,2.07,1.85,4802376
random_instance013_graph002,0,2.09,1.87,4802768
random_instance013_graph003,0,2.11,1.89,4804736
random_instance013_graph004,0,2.08,1.85,4805036
random_instance013_graph005,0,2.06,1.84,4797880
random_instance014_graph001,0,2.09,1.87,4804720
random_instance014_graph002,0,2.09,1.86,4819928
random_instance014_graph003,0,2.09,1.88,4805112
random_instance014_graph004,0,2.07,1.86,4802416
random_instance014_graph005,0,2.07,1.85,4805052
random_instance015_graph001,0,2.09,1.87,4804640
random_instance015_graph002,0,2.09,1.86,4804424
random_instance015_graph003,0,2.09,1.87,4803508
random_instance015_graph004,0,2.09,1.87,4800056
random_instance015_graph005,0,2.09,1.87,4799828
random_instance016_graph001,0,2.11,1.87,4803000
random_instance016_graph002,0,2.13,1.89,4804496
random_instance016_graph003,0,2.09,1.85,4803452
random_instance016_graph004,0,2.13,1.86,4806540
random_instance016_graph005,0,2.11,1.87,4807512
random_instance017_graph001,0,2.1399999999999997,1.88,4808796
random_instance017_graph002,0,2.13,1.87,4809592
random_instance017_graph003,0,2.15,1.89,4809308
random_instance017_graph004,0,2.1399999999999997,1.89,4808512
random_instance017_graph005,0,2.11,1.86,4807784
random_instance018_graph001,0,2.12,1.87,4810680
random_instance018_graph002,0,2.11,1.87,4808408
random_instance018_graph003,0,2.13,1.88,4811328
random_instance018_graph004,0,2.15,1.89,4811708
random_instance018_graph005,0,2.1399999999999997,1.87,4811784
