graph_name,exit_status,cpu_time,wallclock_time,maximum_resident_set_size
ph-18-18,124,3736.29,3608,649041424
ph-19-18,124,3761.59,3608,649046652
ph-19-19,124,3724.27,3608,649042912
ph-20-19,124,3749.21,3607,649052716
ph-20-20,124,3739.7799999999997,3608,649049116
queen008x008,0,2.94,2.2,5157160
queen010x010,0,90.66,80.12,58803488
queen10_10,0,90.63,81.07,58807548
queen11_11,0,1327.58,1027.18,63032520
queen13_13,124,9869.43,3600,72398296
queen15_15,124,7298.92,3600,199150764
queen200x200,124,3600.6699999999996,3600,30863040
queen5_5,0,1.88,1.83,4789500
queen6_6,0,1.91,1.82,4791664
queen7_7,0,2.16,1.89,4863372
queen8_12,0,16.76,15.66,21475520
queen8_8,0,2.95,2.17,5150504
queen9_9,0,8.96,7.74,11698264
random_instance001_graph001,0,1.8399999999999999,1.79,4786224
random_instance001_graph002,0,1.8499999999999999,1.8,4786140
random_instance001_graph003,0,1.8299999999999998,1.79,4786408
random_instance001_graph004,0,1.8299999999999998,1.79,4786456
random_instance001_graph005,0,1.8299999999999998,1.78,4786456
random_instance002_graph001,0,1.8299999999999998,1.78,4789220
random_instance002_graph002,0,1.8499999999999999,1.8,4788416
random_instance002_graph003,0,1.88,1.82,4789424
random_instance002_graph004,0,1.8499999999999999,1.79,4790524
random_instance002_graph005,0,1.8399999999999999,1.8,4788484
random_instance003_graph001,0,2.04,1.85,4836508
random_instance003_graph002,0,2.07,1.89,4849396
random_instance003_graph003,0,1.9899999999999998,1.85,4833528
random_instance003_graph004,0,2.39,1.99,4941328
random_instance003_graph005,0,2.2199999999999998,1.91,4901652
random_instance004_graph001,0,4.1899999999999995,3.09,6065980
random_instance004_graph002,0,5.87,5.08,8593488
random_instance004_graph003,0,4.37,3.57,6744720
random_instance004_graph004,0,3.5700000000000003,2.85,5922900
random_instance004_graph005,0,4.550000000000001,3.53,6540000
random_instance005_graph001,0,63.11,56.1,58683376
random_instance005_graph002,0,42.370000000000005,41.52,46346024
random_instance005_graph003,0,88.53999999999999,81.22,58728748
random_instance005_graph004,0,33.35,32.44,36698808
random_instance005_graph005,0,32.89,32.06,38857648
random_instance006_graph002,0,1843.69,1413.7,65023632
random_instance006_graph003,0,1271.3,962.21,63064204
random_instance006_graph004,0,2348.07,1541.13,65511660
random_instance007_graph001,124,5895.8,3600,68647884
random_instance007_graph002,124,7736.24,3600,71592820
random_instance007_graph003,124,6224.67,3600,68258020
random_instance007_graph004,124,7223.9,3600,71469732
random_instance007_graph005,124,6045.009999999999,3600,69193148
random_instance008_graph001,124,4784.35,3600,142257204
random_instance008_graph002,124,6354.34,3600,69392596
random_instance008_graph003,124,6849.4,3600,70691720
random_instance008_graph004,124,7471.37,3600,68275676
random_instance008_graph005,124,6554.650000000001,3600,68383188
random_instance009_graph001,124,6684.44,3600,68504936
random_instance009_graph002,124,6421.0,3600,68027504
random_instance009_graph003,124,6201.54,3600,67126496
random_instance009_graph004,124,6613.76,3600,68568152
random_instance009_graph005,124,6320.07,3600,70913332
random_instance010_graph001,124,6553.31,3600,67919424
random_instance010_graph002,124,6136.9800000000005,3600,66377248
random_instance010_graph003,124,5124.52,3600,65604344
random_instance010_graph004,124,6990.42,3600,68359960
random_instance010_graph005,124,6171.910000000001,3600,67627696
random_instance011_graph001,124,5818.89,3600,67489864
random_instance011_graph002,124,6681.63,3600,70565528
random_instance011_graph003,124,5892.839999999999,3600,68663944
random_instance011_graph004,124,7539.6,3600,68977416
random_instance011_graph005,124,7172.66,3600,71061380
random_instance012_graph001,124,8633.17,3600,70521680
random_instance012_graph002,124,9054.1,3600,71629104
random_instance012_graph003,124,6652.43,3600,121320380
random_instance012_graph004,124,8208.22,3600,69108388
random_instance012_graph005,124,8125.22,3600,71024808
random_instance013_graph001,124,7440.61,3600,68683556
random_instance013_graph002,124,9333.689999999999,3600,71962628
random_instance013_graph003,124,7410.83,3600,79867296
random_instance013_graph004,124,8021.34,3600,72534928
random_instance013_graph005,124,7979.400000000001,3600,73215536
random_instance014_graph001,124,9006.03,3600,71067176
random_instance014_graph002,124,7008.99,3600,165303524
random_instance014_graph003,124,9647.550000000001,3600,98317680
random_instance014_graph004,124,6277.96,3600,151275036
random_instance014_graph005,124,7613.219999999999,3600,72882876
random_instance015_graph001,124,7080.78,3600,73852888
random_instance015_graph002,124,8520.470000000001,3600,81533948
random_instance015_graph003,124,6674.35,3600,109922892
random_instance015_graph004,124,7056.42,3600,92249572
random_instance015_graph005,124,7441.42,3600,68156608
random_instance016_graph001,124,8247.7,3600,96727632
random_instance016_graph002,124,7566.96,3600,69177860
random_instance016_graph003,124,6674.030000000001,3601,372573284
random_instance016_graph004,124,9030.189999999999,3600,77710240
random_instance016_graph005,124,6536.5,3600,109753584
random_instance017_graph001,124,9192.36,3600,71894356
random_instance017_graph002,124,6040.39,3600,176529824
random_instance017_graph003,124,7862.94,3600,80438288
random_instance017_graph004,124,5953.820000000001,3600,254759012
random_instance017_graph005,124,6093.21,3601,384284620
random_instance018_graph001,124,7848.080000000001,3600,69177736
random_instance018_graph002,124,7315.570000000001,3600,116373916
random_instance018_graph003,124,7561.83,3600,148182900
random_instance018_graph004,124,5430.75,3600,144454248
random_instance018_graph005,124,6714.69,3600,74438560
random_instance019_graph001,124,7431.38,3600,98080044
random_instance019_graph002,124,5844.01,3600,235148788
random_instance019_graph003,124,7022.259999999999,3600,112661584
random_instance019_graph004,124,6677.55,3600,93426680
random_instance019_graph005,124,6571.31,3600,130424912
random_instance020_graph001,124,5624.42,3600,157039024
random_instance020_graph002,124,7490.0199999999995,3600,67944472
random_instance020_graph003,124,5442.63,3600,104869876
random_instance020_graph004,124,6197.9400000000005,3600,219497420
random_instance020_graph005,124,5152.639999999999,3609,659063460
random_instance021_graph001,124,6570.889999999999,3600,100044452
random_instance021_graph002,124,5601.99,3600,153585120
random_instance021_graph003,124,5427.99,3600,169774212
random_instance021_graph004,124,7183.330000000001,3600,131198680
random_instance021_graph005,124,5834.620000000001,3600,139649536
random_instance022_graph001,124,5604.14,3600,144151008
random_instance022_graph002,124,5122.150000000001,3600,126651212
random_instance022_graph003,124,6808.42,3600,113466184
random_instance022_graph004,124,6808.1900000000005,3600,250128560
random_instance022_graph005,124,5147.56,3600,211653292
random_instance023_graph001,124,6768.4,3600,93837808
random_instance023_graph002,124,5468.96,3601,416574952
random_instance023_graph003,124,7982.29,3600,69774736
random_instance023_graph004,124,6228.12,3600,226984284
random_instance023_graph005,124,6393.11,3600,124381588
random_instance024_graph001,124,6994.2,3600,93850416
random_instance024_graph002,124,5779.39,3600,303712700
random_instance024_graph003,124,6278.41,3600,127374780
random_instance024_graph004,124,5593.9400000000005,3601,418377392
random_instance024_graph005,124,4662.35,3600,256825464
random_instance025_graph001,124,5743.4800000000005,3600,220818984
random_instance025_graph002,124,4859.7699999999995,3600,140694760
random_instance025_graph003,124,4672.820000000001,3600,168564364
random_instance025_graph004,124,5853.23,3601,427997908
random_instance025_graph005,124,6200.429999999999,3600,185728652
random_instance026_graph001,124,4531.39,3601,433139512
random_instance026_graph002,124,4993.43,3600,296491784
random_instance026_graph003,124,6677.03,3600,131426352
random_instance026_graph004,124,6943.33,3600,114371952
random_instance026_graph005,124,6760.2,3600,106462964
random_instance027_graph001,124,5444.84,3604,562954380
random_instance027_graph002,124,4722.7300000000005,3601,259170140
random_instance027_graph003,124,5261.29,3600,185664020
random_instance027_graph004,124,5576.429999999999,3600,143146696
random_instance027_graph005,124,5129.99,3608,656738124
random_instance028_graph001,124,5028.56,3600,245017260
random_instance028_graph002,124,5700.87,3600,298309852
random_instance028_graph003,124,5910.5,3600,169258564
random_instance028_graph004,124,4847.820000000001,3600,207317540
random_instance028_graph005,124,4499.53,3600,219680144
random_instance029_graph001,124,5953.2,3600,117927968
random_instance029_graph002,124,5304.92,3600,176272684
random_instance029_graph003,124,5722.35,3600,266610368
random_instance029_graph004,124,6072.49,3600,154771280
random_instance029_graph005,124,5493.929999999999,3600,151468072
random_instance030_graph001,124,7904.719999999999,3600,278549856
random_instance030_graph002,124,5786.280000000001,3600,162072652
random_instance030_graph003,124,4997.45,3601,444712508
random_instance030_graph004,124,5376.26,3608,655625892
random_instance030_graph005,124,5324.68,3607,656921844
random_instance031_graph001,124,5897.75,3602,496485088
random_instance031_graph002,124,5494.93,3600,187533900
random_instance031_graph003,124,5595.23,3600,151878180
random_instance031_graph004,124,6100.01,3600,161147880
random_instance031_graph005,124,6236.1900000000005,3600,219900976
random_instance032_graph001,124,4743.849999999999,3601,259910416
random_instance032_graph002,124,5870.55,3600,181101000
random_instance032_graph003,124,6762.15,3600,249463188
random_instance032_graph004,124,5294.47,3600,157149272
random_instance032_graph005,124,4896.650000000001,3607,654731508
random_instance033_graph001,124,5410.62,3600,192610140
random_instance033_graph002,124,4434.5599999999995,3600,226079784
random_instance033_graph003,124,5112.77,3601,273128584
random_instance033_graph004,124,5466.42,3601,418392956
random_instance033_graph005,124,5744.76,3601,381381704
random_instance034_graph001,124,4902.49,3600,288899624
random_instance034_graph002,124,4578.85,3600,211727192
random_instance034_graph003,124,5645.15,3600,175904664
random_instance034_graph004,124,4470.1,3600,189002944
random_instance034_graph005,124,5967.72,3600,138649964
random_instance035_graph001,124,6424.53,3600,204459664
random_instance035_graph002,124,5190.44,3601,496317472
random_instance035_graph003,124,5417.93,3601,516929972
random_instance035_graph004,124,5287.53,3600,180310508
random_instance035_graph005,124,5447.72,3600,218353356
random_instance036_graph001,124,4761.969999999999,3608,654261872
random_instance036_graph002,124,5607.41,3600,152921944
random_instance036_graph003,124,4715.56,3601,386746924
random_instance036_graph004,124,4751.719999999999,3600,212600776
random_instance036_graph005,124,4135.96,3601,419835216
random_instance037_graph001,124,4591.33,3600,238821712
random_instance037_graph002,124,4771.86,3601,398560356
random_instance037_graph003,124,4839.01,3600,171989812
random_instance037_graph004,124,4622.67,3600,235727616
random_instance037_graph005,124,5251.45,3600,145902380
random_instance038_graph001,124,4817.25,3600,186944704
random_instance038_graph002,124,4239.75,3601,337421160
random_instance038_graph003,124,5238.13,3601,333816532
random_instance038_graph004,124,4190.2300000000005,3600,277291088
random_instance038_graph005,124,5549.160000000001,3600,237820376
random_instance039_graph001,124,4801.34,3600,222667384
random_instance039_graph002,124,4806.87,3601,334251784
random_instance039_graph003,124,4401.58,3600,260768680
random_instance039_graph004,124,4800.89,3600,249604516
random_instance039_graph005,124,4232.7699999999995,3600,289848164
random_instance040_graph001,124,4962.71,3601,524340124
random_instance040_graph002,124,6091.009999999999,3601,356883620
random_instance040_graph003,124,4733.54,3600,213822228
random_instance040_graph004,124,4402.320000000001,3600,184939184
random_instance040_graph005,124,4706.99,3600,176022136
sp001,0,1.8299999999999998,1.79,4786472
sp002,0,1.8699999999999999,1.8,4792376
sp003,0,1.8699999999999999,1.8,4792588
sp004,0,1.9,1.82,4794708
sp005,0,1.93,1.82,4802520
sp006,0,1.99,1.86,4806344
sp007,0,2.04,1.85,4807116
sp008,0,2.07,1.86,4835420
sp009,0,2.1,1.86,4826644
sp010,0,2.15,1.89,4831552
sp011,0,2.2,1.9,4848144
sp012,0,2.29,1.93,4861324
sp013,0,2.37,1.97,4884472
sp014,0,2.42,2.0,4906940
sp015,0,2.55,2.06,4940520
sp016,0,2.7,2.12,4971616
sp017,0,2.7800000000000002,2.14,5005468
sp018,0,2.95,2.25,5035932
sp019,0,3.01,2.26,5084536
sp020,0,3.19,2.34,5136284
sp021,0,3.54,2.46,5210440
sp022,0,3.38,2.47,5249556
sp023,0,3.39,2.51,5313032
sp024,0,3.51,2.58,5389100
sp025,0,3.56,2.65,5475592
sp026,0,3.6399999999999997,2.71,5561720
sp027,0,3.75,2.79,5665944
sp028,0,3.99,3.0,5765988
sp029,0,3.88,2.98,5871500
sp030,0,3.9699999999999998,3.08,6015768
suzuki_instance_2_10_2_2,0,3.14,2.42,5235260
suzuki_instance_2_10_2_3,0,3.83,2.95,5924400
suzuki_instance_2_11_2_2,0,3.62,2.59,5371316
suzuki_instance_2_11_2_3,0,5.02,3.59,6313732
suzuki_instance_2_12_2_2,0,3.58,2.71,5532068
suzuki_instance_2_12_2_3,0,4.77,3.63,6752376
suzuki_instance_2_13_2_2,0,3.78,2.85,5753624
suzuki_instance_2_13_2_3,0,5.0,3.9,7311868
suzuki_instance_2_14_2_2,0,3.92,2.96,5984328
suzuki_instance_2_14_2_3,0,5.359999999999999,4.28,7968124
suzuki_instance_2_15_2_2,0,4.12,3.15,6263984
suzuki_instance_2_15_2_3,0,5.96,4.82,8760532
suzuki_instance_2_16_2_2,0,4.4799999999999995,3.48,6590488
suzuki_instance_2_16_2_3,0,6.550000000000001,5.36,9667040
suzuki_instance_2_17_2_2,0,4.359999999999999,3.54,6983956
suzuki_instance_2_17_2_3,0,7.58,6.35,10759328
suzuki_instance_2_18_2_2,0,5.029999999999999,4.0,7426496
suzuki_instance_2_18_2_3,0,8.09,6.83,12040684
suzuki_instance_2_19_2_2,0,5.45,4.34,7950780
suzuki_instance_2_19_2_3,0,9.06,7.7,13493744
suzuki_instance_2_20_2_2,0,5.73,4.68,8517284
suzuki_instance_2_20_2_3,0,10.39,8.94,15144060
suzuki_instance_2_4_2_2,0,2.07,1.87,4827616
suzuki_instance_2_4_2_3,0,2.33,2.0,4899512
suzuki_instance_2_5_2_2,0,2.17,1.9,4860444
suzuki_instance_2_5_2_3,0,2.51,2.04,4975236
suzuki_instance_2_6_2_2,0,2.27,1.94,4893700
suzuki_instance_2_6_2_3,0,2.83,2.19,5068532
suzuki_instance_2_7_2_2,0,2.5,2.05,4953312
suzuki_instance_2_7_2_3,0,3.34,2.41,5206528
suzuki_instance_2_8_2_2,0,2.66,2.12,5021024
suzuki_instance_2_8_2_3,0,3.63,2.66,5390588
suzuki_instance_2_9_2_2,0,3.3,2.46,5117992
suzuki_instance_2_9_2_3,0,3.87,2.79,5633588
suzuki_instance_3_10_2_2,0,4.58,3.33,6446356
suzuki_instance_3_10_2_3,0,7.1899999999999995,5.46,9642380
suzuki_instance_3_11_2_2,0,4.8100000000000005,3.66,6998768
suzuki_instance_3_11_2_3,0,7.8100000000000005,6.3,11190580
suzuki_instance_3_12_2_2,0,5.4,4.13,7649652
suzuki_instance_3_12_2_3,0,9.14,7.45,13167616
suzuki_instance_3_13_2_2,0,6.41,4.84,8457372
suzuki_instance_3_13_2_3,0,10.18,8.72,15565100
suzuki_instance_3_14_2_2,0,6.720000000000001,5.28,9421032
suzuki_instance_3_14_2_3,0,12.45,10.73,18333672
suzuki_instance_3_15_2_2,0,7.61,5.99,10555000
suzuki_instance_3_15_2_3,0,14.36,12.71,21650860
suzuki_instance_3_16_2_2,0,7.970000000000001,6.6,11869212
suzuki_instance_3_16_2_3,0,16.66,14.86,25604088
suzuki_instance_3_17_2_2,0,8.95,7.62,13389204
suzuki_instance_3_17_2_3,0,19.0,17.43,30126352
suzuki_instance_3_18_2_2,0,10.629999999999999,8.83,15194764
suzuki_instance_3_18_2_3,0,22.1,20.52,35401908
suzuki_instance_3_19_2_2,0,11.46,9.86,17195728
suzuki_instance_3_19_2_3,0,25.04,23.52,41450404
suzuki_instance_3_20_2_2,0,13.31,11.25,19486836
suzuki_instance_3_20_2_3,0,29.54,27.66,48356272
suzuki_instance_3_4_2_2,0,2.48,2.06,4953856
suzuki_instance_3_4_2_3,0,3.31,2.43,5266828
suzuki_instance_3_5_2_2,0,2.84,2.24,5056644
suzuki_instance_3_5_2_3,0,3.6599999999999997,2.62,5574136
suzuki_instance_3_6_2_2,0,3.17,2.38,5200424
suzuki_instance_3_6_2_3,0,4.37,3.02,6023816
suzuki_instance_3_7_2_2,0,4.220000000000001,2.91,5415912
suzuki_instance_3_7_2_3,0,4.890000000000001,3.5,6602640
suzuki_instance_3_8_2_2,0,3.61,2.72,5665916
suzuki_instance_3_8_2_3,0,5.65,4.04,7369168
suzuki_instance_3_9_2_2,0,4.109999999999999,3.05,6028160
suzuki_instance_3_9_2_3,0,5.78,4.47,8395236
