graph_name,pw,type
le450_25a,244,heur
le450_25b,253,heur
le450_25c,327,heur
le450_25d,344,heur
le450_5a,246,heur
le450_5b,266,heur
le450_5c,274,heur
le450_5d,278,heur
LGC_exp_instance001,3,heur
LGC_exp_instance002,4,heur
LGC_exp_instance003,4,heur
LGC_exp_instance004,7,heur
LGC_exp_instance005,9,heur
LGC_exp_instance006,11,heur
LGC_exp_instance007,13,heur
LGC_exp_instance008,15,heur
LGC_exp_instance009,17,heur
LGC_exp_instance010,19,heur
miles1000,50,heur
miles1500,77,heur
miles500,30,heur
miles750,48,heur
mug100_1,16,heur
mug100_25,17,heur
mug88_1,11,heur
mug88_25,10,heur
myciel3,5,heur
myciel4,11,heur
myciel5,20,heur
myciel6,39,heur
myciel7,76,heur
ph-03-02,6,heur
ph-03-03,8,heur
ph-04-03,10,heur
ph-04-04,11,heur
ph-05-04,17,heur
ph-05-05,19,heur
ph-06-05,22,heur
ph-06-06,25,heur
ph-07-06,29,heur
ph-07-07,36,heur
ph-08-07,41,heur
ph-08-08,49,heur
ph-09-08,55,heur
ph-09-09,64,heur
ph-10-09,71,heur
ph-10-10,81,heur
ph-11-10,89,heur
ph-11-11,100,heur
ph-12-11,109,heur
ph-12-12,121,heur
ph-13-12,131,heur
ph-13-13,144,heur
ph-14-13,155,heur
ph-14-14,169,heur
ph-15-14,181,heur
ph-15-15,196,heur
ph-16-15,209,heur
ph-16-16,225,heur
ph-17-16,239,heur
ph-17-17,256,heur
ph-18-17,271,heur
ph-18-18,289,heur
ph-19-18,305,heur
ph-19-19,324,heur
ph-20-19,341,heur
ph-20-20,361,heur
qg.order100,5049,heur
qg.order30,464,heur
qg.order40,819,heur
qg.order60,1829,heur
queen008x008,47,heur
queen010x010,74,heur
queen020x020,302,heur
queen030x030,699,heur
queen040x040,1260,heur
queen050x050,2000,heur
queen060x060,2889,heur
queen070x070,3905,heur
queen080x080,5184,heur
queen090x090,6621,heur
queen100x100,8132,heur
queen10_10,74,heur
queen11_11,88,heur
queen12_12,108,heur
queen13_13,126,heur
queen14_14,147,heur
queen15_15,170,heur
queen16_16,193,heur
queen5_5,19,heur
queen6_6,25,heur
queen7_7,35,heur
queen8_12,68,heur
queen8_8,47,heur
queen9_9,59,heur
random_instance001_graph001,6,heur
random_instance001_graph002,7,heur
random_instance001_graph003,7,heur
random_instance001_graph004,7,heur
random_instance001_graph005,6,heur
random_instance002_graph001,9,heur
random_instance002_graph002,10,heur
random_instance002_graph003,11,heur
random_instance002_graph004,11,heur
random_instance002_graph005,10,heur
random_instance003_graph001,14,heur
random_instance003_graph002,14,heur
random_instance003_graph003,14,heur
random_instance003_graph004,16,heur
random_instance003_graph005,16,heur
random_instance004_graph001,17,heur
random_instance004_graph002,18,heur
random_instance004_graph003,20,heur
random_instance004_graph004,17,heur
random_instance004_graph005,20,heur
random_instance005_graph001,23,heur
random_instance005_graph002,21,heur
random_instance005_graph003,23,heur
random_instance005_graph004,24,heur
random_instance005_graph005,22,heur
random_instance006_graph001,26,heur
random_instance006_graph002,29,heur
random_instance006_graph003,27,heur
random_instance006_graph004,25,heur
random_instance006_graph005,26,heur
random_instance007_graph001,30,heur
random_instance007_graph002,31,heur
random_instance007_graph003,31,heur
random_instance007_graph004,29,heur
random_instance007_graph005,30,heur
random_instance008_graph001,38,heur
random_instance008_graph002,34,heur
random_instance008_graph003,34,heur
random_instance008_graph004,33,heur
random_instance008_graph005,32,heur
random_instance009_graph001,40,heur
random_instance009_graph002,39,heur
random_instance009_graph003,40,heur
random_instance009_graph004,41,heur
random_instance009_graph005,36,heur
random_instance010_graph001,43,heur
random_instance010_graph002,44,heur
random_instance010_graph003,44,heur
random_instance010_graph004,43,heur
random_instance010_graph005,43,heur
random_instance011_graph001,48,heur
random_instance011_graph002,47,heur
random_instance011_graph003,47,heur
random_instance011_graph004,51,heur
random_instance011_graph005,45,heur
random_instance012_graph001,51,heur
random_instance012_graph002,52,heur
random_instance012_graph003,48,heur
random_instance012_graph004,51,heur
random_instance012_graph005,50,heur
random_instance013_graph001,52,heur
random_instance013_graph002,52,heur
random_instance013_graph003,54,heur
random_instance013_graph004,51,heur
random_instance013_graph005,56,heur
random_instance014_graph001,59,heur
random_instance014_graph002,60,heur
random_instance014_graph003,58,heur
random_instance014_graph004,59,heur
random_instance014_graph005,55,heur
random_instance015_graph001,62,heur
random_instance015_graph002,61,heur
random_instance015_graph003,63,heur
random_instance015_graph004,61,heur
random_instance015_graph005,67,heur
random_instance016_graph001,68,heur
random_instance016_graph002,68,heur
random_instance016_graph003,73,heur
random_instance016_graph004,66,heur
random_instance016_graph005,66,heur
random_instance017_graph001,69,heur
random_instance017_graph002,70,heur
random_instance017_graph003,71,heur
random_instance017_graph004,70,heur
random_instance017_graph005,73,heur
random_instance018_graph001,78,heur
random_instance018_graph002,79,heur
random_instance018_graph003,76,heur
random_instance018_graph004,71,heur
random_instance018_graph005,75,heur
random_instance019_graph001,72,heur
random_instance019_graph002,79,heur
random_instance019_graph003,75,heur
random_instance019_graph004,79,heur
random_instance019_graph005,78,heur
random_instance020_graph001,78,heur
random_instance020_graph002,82,heur
random_instance020_graph003,85,heur
random_instance020_graph004,81,heur
random_instance020_graph005,80,heur
random_instance021_graph001,85,heur
random_instance021_graph002,86,heur
random_instance021_graph003,88,heur
random_instance021_graph004,86,heur
random_instance021_graph005,81,heur
random_instance022_graph001,91,heur
random_instance022_graph002,93,heur
random_instance022_graph003,92,heur
random_instance022_graph004,94,heur
random_instance022_graph005,86,heur
random_instance023_graph001,97,heur
random_instance023_graph002,97,heur
random_instance023_graph003,88,heur
random_instance023_graph004,92,heur
random_instance023_graph005,98,heur
random_instance024_graph001,99,heur
random_instance024_graph002,94,heur
random_instance024_graph003,100,heur
random_instance024_graph004,99,heur
random_instance024_graph005,97,heur
random_instance025_graph001,103,heur
random_instance025_graph002,101,heur
random_instance025_graph003,104,heur
random_instance025_graph004,102,heur
random_instance025_graph005,100,heur
random_instance026_graph001,108,heur
random_instance026_graph002,106,heur
random_instance026_graph003,113,heur
random_instance026_graph004,105,heur
random_instance026_graph005,108,heur
random_instance027_graph001,114,heur
random_instance027_graph002,111,heur
random_instance027_graph003,111,heur
random_instance027_graph004,114,heur
random_instance027_graph005,114,heur
random_instance028_graph001,117,heur
random_instance028_graph002,112,heur
random_instance028_graph003,115,heur
random_instance028_graph004,115,heur
random_instance028_graph005,113,heur
random_instance029_graph001,119,heur
random_instance029_graph002,121,heur
random_instance029_graph003,116,heur
random_instance029_graph004,116,heur
random_instance029_graph005,121,heur
random_instance030_graph001,127,heur
random_instance030_graph002,116,heur
random_instance030_graph003,124,heur
random_instance030_graph004,123,heur
random_instance030_graph005,129,heur
random_instance031_graph001,129,heur
random_instance031_graph002,129,heur
random_instance031_graph003,128,heur
random_instance031_graph004,132,heur
random_instance031_graph005,122,heur
random_instance032_graph001,131,heur
random_instance032_graph002,133,heur
random_instance032_graph003,136,heur
random_instance032_graph004,129,heur
random_instance032_graph005,130,heur
random_instance033_graph001,136,heur
random_instance033_graph002,133,heur
random_instance033_graph003,132,heur
random_instance033_graph004,135,heur
random_instance033_graph005,134,heur
random_instance034_graph001,143,heur
random_instance034_graph002,134,heur
random_instance034_graph003,143,heur
random_instance034_graph004,140,heur
random_instance034_graph005,140,heur
random_instance035_graph001,138,heur
random_instance035_graph002,147,heur
random_instance035_graph003,144,heur
random_instance035_graph004,145,heur
random_instance035_graph005,148,heur
random_instance036_graph001,146,heur
random_instance036_graph002,141,heur
random_instance036_graph003,142,heur
random_instance036_graph004,148,heur
random_instance036_graph005,149,heur
random_instance037_graph001,152,heur
random_instance037_graph002,150,heur
random_instance037_graph003,144,heur
random_instance037_graph004,153,heur
random_instance037_graph005,147,heur
random_instance038_graph001,151,heur
random_instance038_graph002,153,heur
random_instance038_graph003,161,heur
random_instance038_graph004,150,heur
random_instance038_graph005,155,heur
random_instance039_graph001,167,heur
random_instance039_graph002,162,heur
random_instance039_graph003,166,heur
random_instance039_graph004,156,heur
random_instance039_graph005,158,heur
random_instance040_graph001,159,heur
random_instance040_graph002,159,heur
random_instance040_graph003,163,heur
random_instance040_graph004,163,heur
random_instance040_graph005,168,heur
SAT_exp_instance002,1,heur
SAT_exp_instance004,4,heur
SAT_exp_instance006,6,heur
SAT_exp_instance008,11,heur
SAT_exp_instance010,11,heur
SAT_exp_instance012,14,heur
SAT_exp_instance014,17,heur
SAT_exp_instance016,20,heur
SAT_exp_instance018,23,heur
SAT_exp_instance020,26,heur
school1,230,heur
school1_nsh,185,heur
sp001,10,heur
sp002,10,heur
sp003,10,heur
sp004,10,heur
sp005,10,heur
sp006,10,heur
sp007,10,heur
sp008,10,heur
sp009,10,heur
sp010,10,heur
sp011,10,heur
sp012,10,heur
sp013,10,heur
sp014,10,heur
sp015,10,heur
sp016,10,heur
sp017,10,heur
sp018,10,heur
sp019,10,heur
sp020,10,heur
sp021,10,heur
sp022,10,heur
sp023,10,heur
sp024,10,heur
sp025,10,heur
sp026,10,heur
sp027,10,heur
sp028,10,heur
sp029,10,heur
sp030,10,heur
suzuki_instance_2_10_2_2,9,heur
suzuki_instance_2_10_2_3,14,heur
suzuki_instance_2_11_2_2,9,heur
suzuki_instance_2_11_2_3,14,heur
suzuki_instance_2_12_2_2,9,heur
suzuki_instance_2_12_2_3,14,heur
suzuki_instance_2_13_2_2,9,heur
suzuki_instance_2_13_2_3,14,heur
suzuki_instance_2_14_2_2,9,heur
suzuki_instance_2_14_2_3,14,heur
suzuki_instance_2_15_2_2,9,heur
suzuki_instance_2_15_2_3,14,heur
suzuki_instance_2_16_2_2,9,heur
suzuki_instance_2_16_2_3,14,heur
suzuki_instance_2_17_2_2,9,heur
suzuki_instance_2_17_2_3,14,heur
suzuki_instance_2_18_2_2,9,heur
suzuki_instance_2_18_2_3,14,heur
suzuki_instance_2_19_2_2,9,heur
suzuki_instance_2_19_2_3,14,heur
suzuki_instance_2_20_2_2,9,heur
suzuki_instance_2_20_2_3,14,heur
suzuki_instance_2_4_2_2,9,heur
suzuki_instance_2_4_2_3,14,heur
suzuki_instance_2_5_2_2,9,heur
suzuki_instance_2_5_2_3,14,heur
suzuki_instance_2_6_2_2,9,heur
suzuki_instance_2_6_2_3,14,heur
suzuki_instance_2_7_2_2,9,heur
suzuki_instance_2_7_2_3,14,heur
suzuki_instance_2_8_2_2,9,heur
suzuki_instance_2_8_2_3,14,heur
suzuki_instance_2_9_2_2,9,heur
suzuki_instance_2_9_2_3,14,heur
suzuki_instance_3_10_2_2,11,heur
suzuki_instance_3_10_2_3,17,heur
suzuki_instance_3_11_2_2,11,heur
suzuki_instance_3_11_2_3,17,heur
suzuki_instance_3_12_2_2,11,heur
suzuki_instance_3_12_2_3,17,heur
suzuki_instance_3_13_2_2,11,heur
suzuki_instance_3_13_2_3,17,heur
suzuki_instance_3_14_2_2,11,heur
suzuki_instance_3_14_2_3,17,heur
suzuki_instance_3_15_2_2,11,heur
suzuki_instance_3_15_2_3,17,heur
suzuki_instance_3_16_2_2,11,heur
suzuki_instance_3_16_2_3,17,heur
suzuki_instance_3_17_2_2,11,heur
suzuki_instance_3_17_2_3,17,heur
suzuki_instance_3_18_2_2,11,heur
suzuki_instance_3_18_2_3,17,heur
suzuki_instance_3_19_2_2,11,heur
suzuki_instance_3_19_2_3,17,heur
suzuki_instance_3_20_2_2,11,heur
suzuki_instance_3_20_2_3,17,heur
suzuki_instance_3_4_2_2,11,heur
suzuki_instance_3_4_2_3,17,heur
suzuki_instance_3_5_2_2,11,heur
suzuki_instance_3_5_2_3,17,heur
suzuki_instance_3_6_2_2,11,heur
suzuki_instance_3_6_2_3,17,heur
suzuki_instance_3_7_2_2,11,heur
suzuki_instance_3_7_2_3,17,heur
suzuki_instance_3_8_2_2,11,heur
suzuki_instance_3_8_2_3,17,heur
suzuki_instance_3_9_2_2,11,heur
suzuki_instance_3_9_2_3,17,heur
wap01a,654,heur
wap02a,657,heur
wap03a,1445,heur
wap04a,1445,heur
wap05a,353,heur
wap06a,362,heur
wap07a,693,heur
wap08a,616,heur
will199GPIA,84,heur
