graph_name,vertices,edges,dat_file,tokens,independent_sets,reconfiguration_sequence_length,pw_opt,pw_heur,pw_orig,cpu_time_opt,cpu_time_heur,cpu_time_orig,wallclock_time_opt,wallclock_time_heur,wallclock_time_orig,max_memory_opt,max_memory_heur,max_memory_orig,zdd_time_opt,zdd_time_heur,zdd_time_orig,zdd_size_opt,zdd_size_heur,zdd_size_orig,solved?_opt,solved?_heur,solved?_orig,error_opt,error_heur,error_orig,cpu_time_opt_preprocess,cpu_time_heur_preprocess,wallclock_time_opt_preprocess,wallclock_time_heur_preprocess,max_memory_opt_preprocess,max_memory_heur_preprocess,solved?_opt_preprocess,solved?_heur_preprocess
3-FullIns_3,80,346,3-FullIns_3_02,36,4560332427351,4,20,31,24,0.57,17.140001,0.2,0.58,17.21,0.21,74264,1120284,38136,0.55903,17.136302,0.179787,41456,211602,61729,1,1,1,,,,8.219999999999999,1.99,7.27,1.84,11648236,4795152,1,1
3-FullIns_4,405,3524,3-FullIns_4_01,198,,,,103,107,,1796.68,1796.63,,1800.41,1800.41,,137683108,139927480,,,,,,,0,0,0,,,,,2.37,,1.92,,4838644,0,1
3-FullIns_4,405,3524,3-FullIns_4_02,197,,,,103,107,,1796.6499,1796.62,,1800.4,1800.42,,136142976,139500872,,,,,,,0,0,0,,,,,2.37,,1.92,,4838644,0,1
3-FullIns_5,2030,33751,3-FullIns_5_01,1009,,,,431,515,,1795.9199,1796.37,,1800.52,1800.52,,138936100,150304544,,,,,,,0,0,0,,,,,4.35,,3.23,,6654792,0,1
3-FullIns_5,2030,33751,3-FullIns_5_02,1008,,,,431,515,,1795.93,1796.39,,1800.54,1800.53,,138938756,150156872,,,,,,,0,0,0,,,,,4.35,,3.23,,6654792,0,1
3-Insertions_3,56,110,3-Insertions_3_01,27,16999974125,4,11,12,13,0.03,0.02,0.02,0.03,0.02,0.03,34036,33012,33012,0.015046,0.011161,0.014082,5841,5090,13124,1,1,1,,,,3.22,1.96,2.46,1.84,5520996,4797096,1,1
3-Insertions_3,56,110,3-Insertions_3_02,26,16999974125,2,11,12,13,0.02,0.02,0.02,0.03,0.02,0.03,33012,33016,33012,0.01494,0.011136,0.014025,5841,5090,13124,1,1,1,,,,3.22,1.96,2.46,1.84,5520996,4797096,1,1
3-Insertions_4,281,1046,3-Insertions_4_01,139,,,,58,69,,1796.5901,1796.76,,1800.39,1800.4,,133841148,137378876,,,,,,,0,0,0,,,,,2.23,,1.88,,4820504,0,1
3-Insertions_4,281,1046,3-Insertions_4_02,138,,,,58,69,,1796.65,1796.69,,1800.39,1800.41,,133976460,137160992,,,,,,,0,0,0,,,,,2.23,,1.88,,4820504,0,1
3-Insertions_5,1406,9695,3-Insertions_5_01,701,,,,284,350,,1796.07,1796.45,,1800.48,1800.48,,133301140,145106896,,,,,,,0,0,0,,,,,3.44,,2.39,,5446724,0,1
3-Insertions_5,1406,9695,3-Insertions_5_02,700,,,,284,350,,1795.95,1796.41,,1800.48,1800.48,,133311492,144927280,,,,,,,0,0,0,,,,,3.44,,2.39,,5446724,0,1
4-FullIns_3,114,541,4-FullIns_3_01,55,767186184427266378,1,24,43,29,2.89,7180.07,3.8500001,2.9,7206.0,3.87,281120,280648312,284280,2.829619,,3.732311,255177,,491999,1,0,1,,,,187.92,2.07,167.86,1.86,59174828,4803572,1,1
